Zip Code,American Indian & Alaska Native,Asian,Black or African American,Native Hawaiian & Other Pacific Islander,White (Not Hispanic or Latino),Some Other Race,Two or More Races,Hispanic or Latino
90001,2.05,0.5,8.24,0.12,0.51,44.61,10.09,90.59
90002,3.48,1.15,17.02,0.14,0.32,35.95,10.49,81.06
90003,0.94,0.51,17.11,0.06,0.42,45.18,14.02,81.03
90004,0.75,25.53,4.11,0.17,19.77,33.39,6.39,47.0
90005,0.88,33.09,5.91,0.05,9.49,27.91,11.53,49.13
90006,1.09,18.43,3.32,0.21,4.89,36.94,10.61,72.57
90007,0.62,18.74,10.44,0.11,15.14,25.35,9.92,53.2
90008,0.65,4.18,65.9,0.22,5.88,13.46,5.21,23.15
90010,0.83,61.95,5.54,1.51,17.71,2.39,3.52,10.29
90011,1.41,0.64,6.1,0.1,0.7,49.61,10.88,91.77
90012,1.12,34.24,13.76,0.15,18.55,17.3,8.08,29.16
90013,1.57,14.34,28.32,1.01,28.5,8.97,11.2,21.75
90014,0.23,21.83,20.62,0.0,29.57,12.78,7.64,25.23
90015,1.54,19.04,8.11,0.0,13.62,29.65,7.85,56.6
90016,0.18,4.51,28.33,0.07,9.99,18.85,12.97,54.82
90017,0.28,15.46,11.33,0.48,11.41,32.46,5.47,59.12
90018,0.37,5.38,28.04,0.17,7.47,28.49,9.66,56.88
90019,0.64,17.62,17.72,0.35,17.62,21.69,10.08,43.92
90020,1.3,44.38,6.88,0.19,12.0,21.82,5.4,34.08
90021,2.79,6.35,17.66,0.0,19.09,31.09,12.22,54.07
90023,1.46,0.95,1.04,0.0,1.52,52.24,9.93,96.1
90024,0.31,25.9,4.05,0.21,49.6,3.52,8.52,13.72
90025,0.05,23.46,3.41,0.04,54.12,3.57,7.39,13.31
90026,0.83,14.87,3.46,0.25,27.97,32.39,8.59,49.6
90027,0.2,12.34,2.74,0.12,58.76,12.52,7.06,22.53
90028,1.14,11.65,9.14,0.0,44.14,16.34,9.01,29.43
90029,0.81,15.77,3.92,0.11,24.63,38.47,6.83,53.51
90031,1.45,28.25,1.93,0.14,8.06,40.36,4.84,60.89
90032,1.31,12.03,2.14,0.02,7.79,45.34,9.89,76.8
90033,1.69,4.6,1.77,0.15,2.63,53.33,7.89,90.53
90034,0.83,20.33,9.47,0.17,38.91,11.84,9.38,26.04
90035,0.11,6.91,6.77,0.22,68.94,3.97,8.77,11.71
90036,0.2,20.03,5.14,0.01,57.76,3.53,8.32,12.27
90037,1.88,1.08,16.57,0.12,1.46,38.26,9.53,79.71
90038,1.41,6.69,6.77,0.3,31.09,32.22,10.36,50.55
90039,2.57,18.55,1.4,0.04,41.95,13.29,11.25,32.69
90041,1.63,26.62,2.13,0.13,30.68,13.49,12.27,35.57
90042,3.31,13.85,2.13,0.03,21.78,27.23,14.06,58.71
90043,0.65,2.27,58.67,0.32,5.77,14.23,8.39,29.01
90044,0.72,0.65,30.59,0.13,1.14,34.4,11.36,66.79
90045,0.64,14.4,10.12,0.21,49.37,3.2,12.65,19.55
90046,0.4,6.61,5.79,0.09,66.92,4.86,10.13,15.15
90047,0.9,0.9,55.59,0.77,2.0,20.12,6.13,39.36
90048,0.07,7.14,3.81,0.0,76.5,3.01,6.6,7.73
90049,0.15,7.1,1.34,0.01,78.11,1.45,8.38,7.88
90057,1.88,18.51,5.83,0.31,6.97,40.14,4.97,67.14
90058,0.0,0.08,7.0,0.14,9.57,27.79,3.33,81.77
90059,2.01,0.23,23.94,0.02,1.27,36.57,11.38,72.64
90061,4.09,0.65,27.96,0.02,1.16,24.54,11.64,68.55
90062,1.84,1.87,29.08,0.11,2.49,33.66,8.73,65.25
90063,1.73,1.62,0.52,0.09,2.66,62.18,6.31,95.27
90064,0.52,20.46,2.4,0.28,55.88,5.28,8.57,14.43
90065,1.78,14.27,1.91,0.02,25.84,30.47,11.48,54.57
90066,1.36,14.54,4.99,0.14,47.66,9.03,9.37,27.22
90067,0.0,18.73,2.26,0.0,71.45,4.07,3.5,5.16
90068,0.18,7.0,5.77,0.04,71.25,2.87,6.77,11.92
90069,0.0,7.21,2.76,0.0,76.31,2.16,6.97,8.39
90077,0.0,7.52,1.72,0.0,77.05,1.44,10.67,5.81
90210,0.11,5.07,1.91,0.0,81.27,1.58,7.74,6.17
90247,0.64,25.35,15.63,0.03,6.12,27.94,10.51,50.81
90248,0.62,34.05,17.01,0.38,5.9,21.28,8.75,36.54
90272,0.07,7.26,0.45,0.02,82.1,0.59,6.33,5.02
90291,0.9,4.2,6.37,0.16,66.35,6.42,7.72,17.82
90292,0.0,9.82,7.64,0.25,66.73,1.86,8.53,9.69
90293,0.43,10.26,4.36,0.0,64.49,3.45,8.24,16.38
90402,0.32,7.82,0.85,0.0,73.89,1.64,8.41,12.51
90501,0.2,26.95,5.28,0.17,18.99,25.05,12.87,44.78
90710,0.43,22.44,11.99,0.31,17.02,15.93,10.89,46.22
90731,0.94,6.11,5.08,0.42,27.11,17.55,13.67,57.68
90732,0.09,12.05,5.28,0.3,46.48,7.63,11.95,33.29
90744,0.81,3.55,2.96,0.51,3.67,25.79,8.88,88.76
91040,0.18,10.78,2.71,0.02,60.55,6.11,9.45,23.21
91042,0.36,8.59,1.21,0.21,61.14,8.84,9.03,25.06
91303,1.1,10.33,3.66,0.0,25.4,36.31,10.56,58.03
91304,0.74,17.07,5.88,0.09,32.42,24.23,7.47,40.53
91306,0.58,18.42,3.7,0.15,24.52,32.89,8.35,48.87
91307,0.8,17.39,3.91,0.07,58.12,4.9,7.46,15.36
91311,0.42,16.39,7.03,0.11,42.48,12.56,11.3,29.99
91316,0.0,7.03,2.33,0.0,69.63,3.38,8.48,15.37
91324,0.74,20.65,5.46,0.19,34.12,21.69,9.52,36.47
91325,0.44,16.01,6.16,0.29,35.78,23.47,9.44,37.76
91326,0.68,31.07,8.34,0.03,42.14,4.42,8.01,14.65
91331,0.87,5.17,2.28,0.12,4.27,32.74,14.53,87.21
91335,1.28,12.84,3.59,0.36,27.52,31.72,7.9,53.17
91340,1.01,2.34,1.81,0.0,3.43,33.42,12.82,92.21
91342,1.22,6.55,3.82,0.15,12.93,22.31,12.85,75.2
91343,0.72,13.41,4.41,0.0,19.43,36.72,10.41,61.25
91344,0.77,17.2,2.91,0.08,44.63,10.81,10.47,31.62
91345,0.97,10.98,1.25,1.49,17.52,39.45,8.2,67.2
91352,0.68,5.49,2.07,0.04,21.33,25.22,17.39,69.82
91356,0.29,5.67,6.28,0.02,66.74,6.06,8.41,15.11
91364,0.32,9.41,6.76,0.13,64.96,4.78,7.99,13.54
91367,0.2,12.99,7.04,0.2,61.13,3.82,7.44,14.37
91401,0.79,5.02,5.58,0.1,42.53,20.16,11.2,42.46
91402,0.68,14.91,2.93,0.08,10.61,54.19,5.78,70.62
91403,0.08,7.84,5.4,0.03,66.97,4.2,8.43,14.36
91405,0.52,8.04,4.87,0.04,23.18,37.76,9.91,61.43
91406,0.87,7.34,4.86,0.03,26.16,34.18,12.92,57.72
91411,0.22,7.97,7.31,0.05,34.17,20.12,10.65,48.02
91423,0.09,6.21,3.99,0.0,70.02,2.36,10.56,13.25
91436,0.39,3.86,1.76,0.11,80.14,2.49,6.89,8.57
91504,0.75,11.04,4.36,0.05,54.9,6.98,10.72,23.47
91601,0.18,8.7,8.56,0.19,44.8,11.55,9.42,34.42
91602,0.44,10.75,7.12,0.46,59.42,6.91,9.72,18.02
91604,0.3,8.11,4.07,0.0,70.71,1.88,9.35,11.35
91605,1.32,7.53,2.53,0.19,27.02,27.73,10.78,61.29
91606,0.96,4.21,4.73,0.17,35.7,20.65,10.6,52.16
91607,0.18,7.23,7.14,0.09,58.36,7.49,11.55,21.53
